RunID,Max_Deflection,Max_Velocity,Settling_Time,Mass,K_Stiffness,B_Damping,Fault_Code,Stiffness_Damping_Product
1117,0.3,0.707419049016524,0.462583318704104,1188.31083819534,150000.0,2098.0,2,314700000.0
1369,0.3,0.666144977166128,0.331922001567201,4663.06281616316,136900.0,3407.0,3,466418300.0
423,0.3,0.643720426832305,0.363261907883702,4598.60396203632,132780.0,4000.0,1,531120000.0
414,0.3,0.640226719561602,0.361689066457199,4137.69237209671,134040.0,4000.0,1,536160000.0
452,0.3,0.655157156844688,0.368447001566424,4258.72675807433,128720.0,4000.0,1,514880000.0
